'COS PHI', '0.000000', 2021-12-3-12-4-14-955986
'PUISSANCE ACTIVE', '0.000000', 2021-12-3-12-4-14-956253
'PUISSANCE APPARENTE', '0.000000', 2021-12-3-12-4-14-956515
'PUISSANCE REACTIVE', '0.000000', 2021-12-3-12-4-14-956790
'TENSION PHASE 1-2', '204.019989', 2021-12-3-12-4-14-957039
'TENSION PHASE 2-3', '117.559998', 2021-12-3-12-4-14-957277
'TENSION PHASE 3-1', '118.009995', 2021-12-3-12-4-14-957509
'COS PHI', '0.000000', 2021-12-3-12-4-20-20121
'PUISSANCE ACTIVE', '0.000000', 2021-12-3-12-4-20-20482
'PUISSANCE APPARENTE', '0.000000', 2021-12-3-12-4-20-20850
'PUISSANCE REACTIVE', '0.000000', 2021-12-3-12-4-20-21169
'TENSION PHASE 1-2', '204.019989', 2021-12-3-12-4-20-21485
'TENSION PHASE 2-3', '117.559998', 2021-12-3-12-4-20-21802
'TENSION PHASE 3-1', '118.009995', 2021-12-3-12-4-20-22111
'COS PHI', '0.000000', 2021-12-3-12-4-25-84986
'PUISSANCE ACTIVE', '0.000000', 2021-12-3-12-4-25-85371
'PUISSANCE APPARENTE', '0.000000', 2021-12-3-12-4-25-85695
'PUISSANCE REACTIVE', '0.000000', 2021-12-3-12-4-25-86001
'TENSION PHASE 1-2', '204.019989', 2021-12-3-12-4-25-86306
'TENSION PHASE 2-3', '117.559998', 2021-12-3-12-4-25-86609
'TENSION PHASE 3-1', '118.009995', 2021-12-3-12-4-25-86917
'COS PHI', '0.000000', 2021-12-3-12-4-30-149469
'PUISSANCE ACTIVE', '0.000000', 2021-12-3-12-4-30-149847
'PUISSANCE APPARENTE', '0.000000', 2021-12-3-12-4-30-150185
'PUISSANCE REACTIVE', '0.000000', 2021-12-3-12-4-30-150501
'TENSION PHASE 1-2', '204.019989', 2021-12-3-12-4-30-150814
'TENSION PHASE 2-3', '117.559998', 2021-12-3-12-4-30-151125
'TENSION PHASE 3-1', '118.009995', 2021-12-3-12-4-30-151434
'COS PHI', '0.000000', 2021-12-3-12-4-35-217704
'PUISSANCE ACTIVE', '0.000000', 2021-12-3-12-4-35-217979
'PUISSANCE APPARENTE', '0.000000', 2021-12-3-12-4-35-218191
'PUISSANCE REACTIVE', '0.000000', 2021-12-3-12-4-35-218454
'TENSION PHASE 1-2', '204.019989', 2021-12-3-12-4-35-218643
'TENSION PHASE 2-3', '117.559998', 2021-12-3-12-4-35-218809
'TENSION PHASE 3-1', '118.009995', 2021-12-3-12-4-35-218970
'COS PHI', '0.000000', 2021-12-3-12-4-40-277926
'PUISSANCE ACTIVE', '0.000000', 2021-12-3-12-4-40-278251
'PUISSANCE APPARENTE', '0.000000', 2021-12-3-12-4-40-278508
'PUISSANCE REACTIVE', '0.000000', 2021-12-3-12-4-40-278800
'TENSION PHASE 1-2', '204.019989', 2021-12-3-12-4-40-279084
'TENSION PHASE 2-3', '117.559998', 2021-12-3-12-4-40-279351
'TENSION PHASE 3-1', '118.009995', 2021-12-3-12-4-40-279607

