,Brun-,Brun,Gris,Gris-,Noir,Noir-,PV_Brun-,PV_Brun,PV_Gris,PV_Gris-,PV_Noir,PV_Noir-,P_cons,P_prod,P_tot
2021-12-17 00:00:00+01:00,0.0,56.875000009313226,17.750000013620593,0.0,70.49999997252598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.1249999954598,0.0,145.1249999954598
2021-12-17 00:00:08+01:00,0.0,80.62500003143214,20.375000014610123,0.0,96.12499995273538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.12499999877764,0.0,197.12499999877764
2021-12-17 00:00:16+01:00,0.0,86.87500000814907,20.25000000867294,0.0,100.50000005867332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.62500007549534,0.0,207.62500007549534
2021-12-17 00:00:24+01:00,0.0,100.37500006728806,20.2500000159489,0.0,110.62500003026798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.25000011350494,0.0,231.25000011350494
2021-12-17 00:00:32+01:00,0.0,73.62500004819594,20.2500000159489,0.0,83.8750000402797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.75000010442454,0.0,177.75000010442454
2021-12-17 00:00:40+01:00,0.0,100.62500002095476,20.2500000159489,0.0,110.75000005075708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.62500008766074,0.0,231.62500008766074
2021-12-17 00:00:48+01:00,0.0,100.75000001234002,20.375000014610123,0.0,110.87500001303852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.00000003998866,0.0,232.00000003998866
2021-12-17 00:00:56+01:00,0.0,101.37499996926636,20.125000017287675,0.0,110.62500003026798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.125000016822,0.0,232.125000016822
2021-12-17 00:01:04+01:00,0.0,101.37499996926636,20.125000017287675,0.0,111.12499999580905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.62499998236308,0.0,232.62499998236308
2021-12-17 00:01:12+01:00,0.0,74.37499999650754,20.2500000159489,0.0,84.37500000582077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0000000182772,0.0,179.0000000182772
2021-12-17 00:01:20+01:00,0.0,106.25000001164153,20.2500000159489,0.0,116.25000002095476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.7500000485452,0.0,242.7500000485452
2021-12-17 00:01:28+01:00,0.0,103.49999996833503,20.375000014610123,0.0,113.37499998626299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.24999996920815,0.0,237.24999996920815
2021-12-17 00:01:36+01:00,0.0,103.1249999650754,20.125000017287675,0.0,113.2499999657739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.49999994813697,0.0,236.49999994813697
2021-12-17 00:01:44+01:00,0.0,103.00000000279397,20.2500000159489,0.0,112.99999998300336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.25000000174623,0.0,236.25000000174623
2021-12-17 00:01:52+01:00,0.0,74.37499999650754,20.125000017287675,0.0,84.37500000582077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.87500001961598,0.0,178.87500001961598
2021-12-17 00:02:00+01:00,0.0,103.37499997694977,20.2500000159489,0.0,113.24999999487773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.8749999877764,0.0,236.8749999877764
2021-12-17 00:02:08+01:00,0.0,102.62499997043051,20.2500000159489,0.0,112.8749999916181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.7499999779975,0.0,235.7499999779975
2021-12-17 00:02:16+01:00,0.0,83.12499997555278,20.2500000159489,0.0,98.24999995180406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.62499994330574,0.0,201.62499994330574
2021-12-17 00:02:24+01:00,0.0,82.99999998416752,20.125000017287675,0.0,97.87499997764826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.99999997910345,0.0,200.99999997910345
2021-12-17 00:02:32+01:00,0.0,54.25000001559965,20.125000010011718,0.0,69.87499998649582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.2500000121072,0.0,144.2500000121072
2021-12-17 00:02:40+01:00,0.0,83.37500001653098,20.125000017287675,0.0,98.62499998416752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.12500001798617,0.0,202.12500001798617
2021-12-17 00:02:48+01:00,0.0,82.87499996367842,20.2500000159489,0.0,98.50000002188608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.6250000015134,0.0,201.6250000015134
2021-12-17 00:02:56+01:00,0.0,82.49999998952262,20.125000017287675,0.0,97.6249999657739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.2499999725842,0.0,200.2499999725842
2021-12-17 00:03:04+01:00,0.0,82.49999998952262,20.2500000159489,0.0,97.99999996903352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.74999997450504,0.0,200.74999997450504
2021-12-17 00:03:12+01:00,0.0,54.12499999511056,20.2500000159489,0.0,70.12500002747402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.50000003853347,0.0,144.50000003853347
2021-12-17 00:03:20+01:00,0.0,82.37499999813735,20.125000017287675,0.0,97.87500000675209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.37500002217712,0.0,200.37500002217712
2021-12-17 00:03:28+01:00,0.0,82.99999998416752,20.125000017287675,0.0,98.12499998952262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.2499999909778,0.0,201.2499999909778
2021-12-17 00:03:36+01:00,0.0,82.74999997229315,20.125000017287675,0.0,97.74999995715916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.62499994674,0.0,200.62499994674
