,L5,L5-,P_cons,P_prod,P_tot
2021-12-17 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:00:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:00:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:00:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:00:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:00:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:00:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:00:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:01:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:01:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:01:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:01:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:01:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:01:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:01:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:02:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:02:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:02:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:02:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:02:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:02:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:02:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:02:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:03:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:03:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:03:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:03:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:03:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:03:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:03:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:04:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:04:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:04:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 00:04:24+01:00,0.0,0.0,0.0,0.0,0.0
