,Mains Phase L3,Mains Phase L3-,PV sur phase L1,PV sur phase L1-,PV sur phase L2,PV sur phase L2-,P_cons,P_prod,P_tot
2021-12-16 22:16:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:16+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:24+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:32+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:40+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:48+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:56+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:17:04+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:17:12+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:17:20+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:17:28+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:17:36+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:17:44+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:17:52+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:18:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:18:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:18:16+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:18:24+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:18:32+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:18:40+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:18:48+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:18:56+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:19:04+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:19:12+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:19:20+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:19:28+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:19:36+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:19:44+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:19:52+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:20:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:20:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:20:16+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:20:24+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:20:32+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:20:40+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:20:48+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:20:56+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:21:04+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:21:12+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:21:20+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:21:28+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:21:36+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:21:44+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:21:52+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:22:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:22:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:22:16+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:22:24+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:22:32+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:22:40+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:22:48+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:22:56+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:23:04+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:23:12+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:23:20+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:23:28+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:23:36+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:23:44+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:23:52+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:24:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:24:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:24:16+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:24:24+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:24:32+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:24:40+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:24:48+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:24:56+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:25:04+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
