,CDB001_Mains-,CDB001_Mains,CDB001_PV,CDB001_PV-,CDB002_Mains,CDB002_Mains-,CDB002_PV,CDB002_PV-,CDB003_main-,CDB003_main,CDB003_PV,CDB003_PV-,CDB004_Mains L1,CDB004_Mains L1-,CDB005_main black-,CDB005_main black,CDB005_main blue,CDB005_main blue-,CDB005_main red-,CDB005_main red,CDB006_Main,CDB006_Main-,CDB006_PV-,CDB006_PV,CDB008_Main,CDB008_Main-,CDB009_Main,CDB009_Main-,CDB009_PV,CDB009_PV-,CDB011_Mains phase 1-,CDB011_Mains phase 1,CDB011_Mains phase 2-,CDB011_Mains phase 2,CDB011_Mains phase 3-,CDB011_Mains phase 3,CDB012_Phase L1-,CDB012_Phase L1,CDB012_Phase L2,CDB012_Phase L2-,CDB012_Phase L3,CDB012_Phase L3-,CDB012_PV sur phase L1,CDB012_PV sur phase L1-,CDB012_PV sur phase L2,CDB012_PV sur phase L2-,CDB014_Phase L1-,CDB014_Phase L1,CDB014_Phase L2,CDB014_Phase L2-,CDB014_Phase L3,CDB014_Phase L3-,CDB016_Mains phase 1-,CDB016_Mains phase 1,CDB017_Mains Phase L3,CDB017_Mains Phase L3-,CDB017_PV sur phase L1,CDB017_PV sur phase L1-,CDB017_PV sur phase L2,CDB017_PV sur phase L2-,CDB019_Phase L1,CDB019_Phase L1-,P_cons,P_prod,P_tot
2021-12-16 22:16:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2021-12-16 22:16:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:16:16+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.0000000298023,10.999999998603016,0.0,0.0,0.0,0.0,227.00000001350418,309.0000000083819,0.0,0.0,41.00000000107684,358.0000000074506,0.0,0.0,9.99999999839929,390.00000001396984,0.0,381.9999999832362,0.0,1.9999999999527063,0.0,0.0,36.00000002188608,0.0,64.00000001303852,27.000000001862645,0.0,0.0,618.0000000167638,141.99999999254942,0.0,472.99999999813735,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.00000002607703,0.0,0.0,0.0,0.0,0.0,0.0,582.9999999841675,0.0,4540.0000000911405,414.0000000109012,4906.000000108179
2021-12-16 22:16:24+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0000000046566,10.999999998603016,0.0,0.0,0.0,0.0,225.00000000582077,309.9999999976717,0.0,0.0,43.000000001484295,360.0000001024455,0.0,0.0,9.99999999839929,383.00000003073364,0.0,368.99999994784594,0.0,1.0000000002037268,0.0,0.0,38.00000000046566,0.0,70.99999999627471,32.99999999580905,0.0,0.0,618.9999999478459,140.00000001396984,0.0,475.00000009313226,0.0,0.0,0.9999999999763531,0.9999999999763531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0000000046566,0.0,0.0,0.0,0.0,0.0,0.0,570.9999999962747,0.0,4345.0000001139415,405.0000000279397,4706.000000147469
2021-12-16 22:16:32+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.000000005588,10.999999998603016,0.0,0.0,0.0,0.0,201.9999999902211,306.0000000114087,0.0,0.0,62.999999998282874,358.0000000074506,0.0,0.0,8.999999998195563,368.0000000167638,0.0,354.0000000502914,0.0,1.0000000002037268,0.0,0.0,36.00000002188608,0.0,70.00000000698492,32.99999999580905,0.0,0.0,618.9999999478459,141.99999999254942,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.99999995715916,0.0,0.0,0.0,0.0,0.0,0.0,569.0000000176951,0.0,4515.000000006694,389.0000000137661,4862.000000026455
2021-12-16 22:16:40+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.999999973923,10.999999998603016,0.0,0.0,0.0,0.0,163.99999998975545,303.0000000144355,0.0,0.0,98.00000000177533,358.0000000074506,0.0,0.0,9.99999999839929,359.99999998603016,0.0,348.9999999292195,0.0,1.0000000002037268,0.0,0.0,43.000000005122274,0.0,76.00000000093132,33.999999999650754,0.0,0.0,618.9999999478459,141.00000000325963,0.0,473.9999999292195,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.99999997857958,0.0,0.0,0.0,0.0,0.0,0.0,589.9999999674037,0.0,4327.999999746453,382.99999998321255,4664.999999735301
2021-12-16 22:16:48+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.9999999757856,10.999999998603016,0.0,0.0,0.0,0.0,163.99999998975545,304.0000000037253,0.0,0.0,98.99999999834108,358.9999999385327,0.0,0.0,8.999999998195563,361.0000000335276,0.0,354.0000000502914,0.0,1.0000000002037268,0.0,0.0,53.0000000144355,0.0,87.99999998882413,32.99999999580905,0.0,0.0,618.0000000167638,141.99999999254942,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.00000002607703,0.0,0.0,0.0,0.0,0.0,0.0,604.9999999813735,0.0,4523.999999975786,382.0000000305299,4864.000000012311
2021-12-16 22:16:56+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0000000158325,11.999999998806743,0.0,0.0,0.0,0.0,163.00000000046566,303.0000000144355,0.0,0.0,98.00000000177533,360.0000001024455,0.0,0.0,9.99999999839929,356.99999995995313,0.0,355.9999999124557,0.0,1.0000000002037268,0.0,0.0,43.000000005122274,0.0,76.00000000093132,32.99999999580905,0.0,0.0,620.0000001117587,141.99999999254942,0.0,473.9999999292195,0.0,0.0,1.9999999999527063,0.9999999999763531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.99999997857958,0.0,0.0,0.0,0.0,0.0,0.0,601.9999999552965,0.0,4395.000000022492,378.99999995738654,4729.9999999850115
2021-12-16 22:17:04+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0000000307336,9.99999999839929,0.0,0.0,0.0,0.0,160.99999999278225,301.0000000067521,0.0,0.0,98.99999999834108,358.9999999385327,0.0,0.0,8.999999998195563,359.00000005494803,0.0,351.9999999552965,0.0,1.9999999999527063,0.0,0.0,37.00000001117587,0.0,69.00000001769513,32.00000000651926,0.0,0.0,617.0000000856817,140.00000001396984,0.0,473.9999999292195,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.99999997857958,0.0,0.0,0.0,0.0,0.0,0.0,606.000000028871,0.0,4463.999999977659,380.0000000514956,4802.00000003606
2021-12-16 22:17:12+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.9999999869615,10.999999998603016,0.0,0.0,0.0,0.0,159.00000001420267,298.0000000097789,0.0,0.0,98.00000000177533,358.0000000074506,0.0,0.0,9.99999999839929,375.0,0.0,355.9999999124557,0.0,1.0000000002037268,0.0,0.0,36.00000002188608,0.0,63.000000023748726,25.99999999802094,0.0,0.0,618.0000000167638,141.00000000325963,0.0,475.00000009313226,0.0,0.0,1.9999999999527063,0.9999999999763531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.99999997857958,0.0,0.0,0.0,0.0,0.0,0.0,606.000000028871,0.0,4391.000000098074,395.9999999972297,4745.000000100845
